ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10059996,HY248844,5/05/2015 23:30,109XX S MICHIGAN AVE,820,THEFT,$500 AND UNDER,SIDEWALK,FALSE,FALSE,513,5,9,49,6,1178806,1832645,2015,5/12/2015 12:42,41.69607212,-87.62094315,"(41.696072117, -87.620943149)"
10059932,HY248776,5/05/2015 23:29,054XX W CATALPA AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,1623,16,45,11,18,1138930,1936271,2015,5/12/2015 12:42,41.98124978,-87.76443308,"(41.981249782, -87.764433077)"
10059981,HY248788,5/05/2015 23:25,0000X S DOOR 3 ST,1330,CRIMINAL TRESPASS,TO LAND,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,TRUE,FALSE,813,8,23,56,26,1145850,1866136,2015,5/12/2015 12:42,41.78866226,-87.74076427,"(41.788662264, -87.74076427)"
10066377,HY249352,5/05/2015 23:20,008XX W LAWRENCE AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,OTHER,FALSE,TRUE,2024,,48,3,20,,,2015,5/12/2015 12:42,,,
10059964,HY248773,5/05/2015 23:20,001XX N LOREL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1523,15,28,25,08B,1140735,1900405,2015,5/12/2015 12:42,41.88279672,-87.75867886,"(41.882796716, -87.758678855)"
10060179,HY248920,5/05/2015 23:20,057XX W MONTROSE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,SPORTS ARENA/STADIUM,FALSE,FALSE,1622,16,38,15,14,1136919,1928707,2015,5/12/2015 12:42,41.9605299,-87.77201129,"(41.960529896, -87.772011288)"
10059942,HY248764,5/05/2015 23:18,085XX S BURNHAM AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,423,4,7,46,08B,1196262,1849015,2015,5/12/2015 12:42,41.74057892,-87.55649052,"(41.740578921, -87.556490515)"
10059920,HY248758,5/05/2015 23:15,003XX W 105TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,512,5,34,49,18,1175819,1835256,2015,5/12/2015 12:42,41.70330436,-87.63180174,"(41.703304357, -87.631801744)"
10066591,HY255535,5/05/2015 23:15,012XX N CLARK ST,810,THEFT,OVER $500,CTA TRAIN,FALSE,FALSE,1821,,42,8,6,,,2015,5/12/2015 12:42,,,
10060000,HY248752,5/05/2015 23:11,010XX N LAWLER AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,FALSE,FALSE,1531,15,37,25,26,1142463,1906508,2015,5/12/2015 12:42,41.89951215,-87.75218171,"(41.899512148, -87.752181708)"
